City Name,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
Svetlogorsk,53.14,59.15,41.0,93,90,17.9
Porangatu,-13.44,-49.14,76.21,73,100,1.14
Port Hedland,-20.31,118.58,95.0,32,0,11.41
Kurilsk,45.23,147.88,44.13,93,100,14.27
Roebourne,-20.77,117.15,98.82,13,0,17.05
Sao Felix do Xingu,-6.64,-51.99,70.84,98,91,1.88
Kaitangata,-46.28,169.85,54.0,96,47,8.01
Dudinka,69.41,86.18,15.8,78,75,17.9
Nacogdoches,31.6,-94.66,62.01,100,1,1.9
Apiai,-24.51,-48.84,59.74,94,99,2.01
Bilibino,68.06,166.44,18.5,76,100,2.82
Kaka,37.35,59.62,67.62,7,0,14.32
Suhbaatar,50.23,106.21,33.66,62,0,1.59
Santa Flavia,-51.55,-72.35,32.43,94,100,9.17
Hailey,43.52,-114.32,32.0,66,1,9.17
Tonantins,-2.86,-67.77,72.16,99,100,1.63
Kindu,-2.95,25.92,88.45,49,100,2.64
Ahipara,-35.17,173.16,64.99,100,36,11.21
Bay Roberts,47.58,-53.28,37.0,50,5,34.45
Laela,-8.57,32.05,81.19,34,29,10.22
Champerico,16.38,-93.6,67.21,93,100,2.01
Chinhoyi,-17.36,30.19,93.16,17,0,8.97
Sudak,44.85,34.97,69.82,42,11,10.0
Yumen,40.29,97.04,54.01,37,0,21.07
Trairi,-3.28,-39.27,75.63,79,95,8.1
Jackson,43.48,-110.76,28.4,85,1,4.7
Villa Bruzual,9.33,-69.12,72.0,96,90,3.24
Tura,64.27,100.22,-5.41,96,100,2.37
Poddorye,57.47,31.12,31.08,95,98,4.9
Bjornevatn,69.67,29.98,24.8,92,75,3.36
Boden,65.83,21.69,19.4,92,90,2.24
Amapa,15.09,-87.97,75.0,95,91,1.86
Takab,36.4,47.11,53.87,26,0,3.09
Padang,-0.92,100.36,77.32,78,82,4.05
Oeiras,-7.01,-42.13,75.36,49,52,2.55
Paragominas,-3.0,-47.35,70.99,96,69,2.35
Culebra,9.3,-82.53,73.0,96,99,1.01
Nishihara,35.74,139.53,70.0,49,75,23.04
Caravelas,-17.73,-39.27,75.27,82,100,4.99
Lillesand,58.25,8.38,35.01,88,75,12.75
Eyl,7.98,49.82,80.04,80,59,10.04
Kirakira,-10.46,161.92,78.64,84,100,2.3
Huarmey,-10.07,-78.15,59.97,87,69,1.9
Zhigansk,66.77,123.37,-18.46,93,80,14.56
Gondanglegi,-7.75,112.01,82.35,61,33,12.8
Sola,-3.17,33.8,81.91,38,100,4.41
Aksarka,66.56,67.8,3.34,91,72,3.02
Pontes e Lacerda,-15.23,-59.33,71.76,94,100,1.5
Ugoofaaru,5.67,73.0,83.59,71,0,9.51
Kloulklubed,7.04,134.26,80.6,83,90,5.82
Karksi-Nuia,58.1,25.55,32.0,93,100,7.27
Okato,-39.19,173.88,62.01,76,100,3.0
Chumikan,54.72,135.31,14.9,60,100,17.94
Seminole,32.72,-102.64,57.2,100,90,6.93
Sitka,37.17,-99.65,30.0,72,100,14.0
Forbes,-33.38,148.01,63.95,43,0,7.02
Nhulunbuy,-12.18,136.78,82.4,65,1,9.17
Pueblo Nuevo,-32.93,-68.73,68.0,52,0,11.41
Masterton,-40.95,175.66,63.0,86,100,3.53
Bemidji,47.48,-94.89,14.0,85,90,6.78
Jumla,29.28,82.18,56.19,32,97,5.66
Morant Bay,17.88,-76.41,80.6,61,20,4.7
Goderich,43.74,-81.71,36.0,78,100,4.0
Anadyr,64.73,177.51,10.4,85,0,6.71
Aloleng,16.13,119.78,78.66,90,41,2.91
Goroka,-6.07,145.39,60.33,95,91,0.36
Fukue,35.03,136.69,64.4,55,75,5.82
Kahului,20.89,-156.47,75.2,83,1,5.82
Kautokeino,69.01,23.04,3.92,99,98,0.96
Rome,41.89,12.48,64.4,77,15,4.7
Monrovia,6.33,-10.8,80.6,88,75,4.97
Salvador,-12.98,-38.48,80.6,83,40,12.75
Pierre,44.37,-100.35,7.0,84,1,6.93
Smithers,54.78,-127.17,32.0,86,90,5.82
Gouyave,12.16,-61.73,80.6,78,40,12.75
Boende,-0.28,20.88,88.97,52,94,3.06
Grindavik,63.84,-22.43,37.4,93,75,13.87
Keshabpur,22.92,89.21,83.95,50,74,6.98
Conde,-11.81,-37.61,78.4,74,100,16.69
Pangnirtung,66.15,-65.72,19.4,69,76,7.94
Harper,30.3,-99.24,66.2,88,90,13.44
Fortuna Foothills,32.66,-114.41,69.8,25,1,9.17
Huejuquilla el Alto,22.63,-103.9,60.64,81,0,0.07
Iquitos,-3.75,-73.25,73.4,94,75,3.36
Forio,40.73,13.86,63.0,87,40,3.36
Lodwar,3.12,35.6,92.73,33,5,18.86
Mecca,21.43,39.83,91.26,32,0,10.27
Arvi,21.0,78.23,84.87,57,6,4.81
Liman,45.78,47.23,64.08,58,10,11.77
Yulara,-25.24,130.99,95.0,6,0,3.36
Cidreira,-30.17,-50.22,67.53,82,43,16.89
Sabha,27.03,14.43,81.93,17,33,14.29
Sangar,63.92,127.47,-19.03,98,86,4.32
Skelleftea,64.75,20.95,19.99,92,90,5.82
Nanakuli,21.39,-158.15,80.6,94,1,8.05
Puerto El Triunfo,13.27,-88.55,68.94,87,100,4.29
Los Llanos de Aridane,28.66,-17.92,66.2,77,75,14.99
Narsaq,60.91,-46.05,44.6,26,75,23.04
Kununurra,-15.77,128.74,96.8,30,24,10.29
Necochea,-38.55,-58.74,61.0,72,0,11.99
Auki,12.18,6.51,89.38,19,0,7.23
Kontagora,10.4,5.47,85.75,35,0,4.12
Lexington,38.05,-84.5,51.8,93,90,2.64
Si Sa Ket,15.12,104.33,86.0,58,100,6.93
Shimoda,34.7,138.93,66.99,55,75,8.05
Axim,4.87,-2.24,84.79,72,30,2.82
Carnarvon,-30.97,22.13,65.17,14,23,15.05
Hobyo,5.35,48.53,85.57,58,2,8.81
Lucapa,-8.42,20.74,84.69,59,18,2.73
Faanui,-16.48,-151.75,80.49,80,13,18.72
Micheweni,-4.97,39.83,81.25,76,7,8.84
Sarankhola,22.31,89.79,85.53,52,100,7.76
Lompoc,34.64,-120.46,60.8,93,90,3.36
Kanigoro,-8.13,112.22,82.35,61,33,12.8
Demirci,39.05,28.66,63.0,75,88,3.0
Srivardhan,18.03,73.02,82.38,67,75,8.5
Hovd,63.83,10.7,30.0,79,88,5.82
Skjervoy,70.03,20.97,28.4,73,4,19.46
Tromso,69.65,18.96,18.0,85,0,19.46
Oksfjord,70.24,22.35,28.4,92,75,9.17
Meadow Lake,54.13,-108.44,7.63,95,0,4.5
Iqaluit,63.75,-68.52,3.2,77,5,12.75
Dogondoutchi,13.64,4.03,92.08,16,0,6.35
Celestun,20.87,-90.4,78.17,85,5,11.97
Raudeberg,61.99,5.14,39.99,62,20,5.82
Taltal,-25.41,-70.49,51.78,87,63,3.22
Mragowo,53.86,21.31,42.8,93,40,5.82
Eirunepe,-6.66,-69.87,71.13,99,100,2.01
Nguru,12.88,10.45,92.28,10,0,11.3
Kamaishi,39.28,141.86,53.6,87,75,8.05
Deori,23.12,78.69,85.8,50,0,4.29
De-Kastri,51.48,140.77,23.74,70,100,14.14
Kalabo,-15.0,22.67,80.06,53,100,1.52
Tarnogskiy Gorodok,60.5,43.58,20.91,81,100,9.33
Adeje,5.68,5.76,87.21,68,50,3.15
Opuwo,-18.06,13.84,83.71,20,60,8.57
Renqiu,38.71,116.1,52.81,42,0,6.06
Pangai,-19.8,-174.35,75.33,80,0,14.0
Nantucket,41.28,-70.1,53.01,66,1,8.05
Boa Vista,2.82,-60.67,78.8,74,100,6.93
Totton,50.92,-1.49,46.99,81,20,6.93
Port Said,25.34,30.55,78.75,37,0,1.99
Henties Bay,-22.12,14.28,73.51,44,11,9.4
Khandyga,62.65,135.58,-8.58,97,100,0.67
Marietta,33.95,-84.55,57.2,76,75,3.36
Klamath Falls,42.22,-121.78,42.01,69,1,3.36
Saint-Louis,16.03,-16.5,71.6,73,100,4.7
Tevaitoa,-16.78,-151.5,80.46,81,0,17.63
Puerto Escondido,15.86,-97.07,69.62,73,42,5.39
Sahbuz,39.41,45.57,57.2,41,0,2.24
Helena,46.59,-112.04,19.4,85,1,3.6
Sangin,32.07,64.85,60.37,15,0,2.55
Archidona,-0.91,-77.81,59.11,91,90,3.74
Minab,27.15,57.07,91.4,10,0,13.87
Chernolesskoye,44.72,43.71,65.01,35,0,7.38
Tampakan,6.44,124.93,86.0,66,75,2.24
Reynoldsburg,39.95,-82.81,46.0,93,90,3.65
Mao,19.55,-71.08,75.99,100,75,5.88
Noumea,-22.28,166.46,77.0,73,20,2.24
Terney,45.05,136.61,20.55,48,0,7.34
Iralaya,15.0,-83.23,82.74,80,89,18.45
Sumkino,58.11,68.32,39.36,95,100,9.8
Namibe,-15.19,12.15,77.0,83,90,16.11
Shubarkuduk,49.15,56.49,42.46,37,0,16.67
Tautira,-17.73,-149.15,78.8,69,20,2.24
Clinton,41.28,-72.53,46.0,56,75,3.36
Plauen,50.5,12.13,51.01,93,75,8.05
Miles City,46.41,-105.84,10.0,84,1,9.17
Oussouye,12.49,-16.54,77.0,88,0,4.7
Ponta Delgada,37.73,-25.67,62.6,88,75,6.93
Somain,50.36,3.28,48.2,93,100,13.87
Matara,-3.48,29.48,84.2,62,40,2.24
Kenai,60.55,-151.26,41.0,86,90,11.41
San Quintin,17.54,120.52,81.1,77,68,1.19
Poyarkovo,49.62,128.65,14.74,68,67,7.09
Evensk,61.92,159.24,27.45,84,100,12.48
Taoudenni,22.68,-3.98,77.63,19,0,3.42
Mettur,11.8,77.8,91.4,52,20,3.36
Juneau,58.3,-134.42,39.2,93,90,4.38
Joshimath,30.57,79.57,51.91,42,100,1.74
Petropavlovsk-Kamchatskiy,53.05,158.65,32.0,70,20,2.24
Baruun-Urt,46.68,113.28,37.06,45,0,13.67
Hauterive,49.18,-68.27,30.2,73,1,3.36
Breytovo,58.3,37.86,26.42,70,100,13.62
Vostok,46.45,135.83,9.27,74,100,11.5
Ampanihy,-24.69,44.75,104.4,11,0,3.33
Port Hardy,50.7,-127.42,44.6,100,90,2.24
Mayo,63.59,-135.9,6.8,84,90,2.24
Vazhiny,60.96,34.04,27.12,86,100,6.8
Imbituba,-28.24,-48.67,69.8,88,75,8.05
Tuatapere,-46.13,167.69,59.0,74,97,3.0
Carman,49.51,-98.0,12.0,71,20,5.82
Menongue,-14.66,17.68,78.24,47,71,3.62
Srednekolymsk,67.46,153.71,9.23,92,100,5.77
Cabedelo,-6.97,-34.84,75.2,94,40,4.7
The Valley,18.22,-63.06,82.4,74,20,10.29
Promissao,-21.54,-49.86,68.99,71,100,8.01
Santa Rosalia,38.07,13.27,66.2,59,40,14.99
Central Point,42.38,-122.91,45.0,75,1,3.36
Ilmajoki,62.73,22.58,19.99,92,95,2.24
Caborca,30.58,-111.1,55.99,89,100,1.25
Alice Springs,-23.7,133.88,91.4,7,0,8.05
Jiuquan,39.73,98.49,44.53,44,0,6.02
Pudozh,61.81,36.54,21.94,89,43,5.08
Konolfingen,46.88,7.62,44.01,100,75,3.36
Fortuna,40.6,-124.16,46.99,93,90,3.36
Madimba,4.42,9.93,86.0,74,75,2.24
Winneba,5.35,-0.62,84.2,74,20,6.93
Alyangula,-13.85,136.42,86.0,66,40,4.7
Bretzfeld,49.18,9.44,53.01,81,20,4.7
Pangkalanbuun,-2.68,111.62,84.24,64,100,5.08
Moyale,3.52,39.05,79.38,64,35,11.34
Marquette,46.54,-87.4,24.8,85,1,6.93
Del Rio,29.36,-100.9,71.6,73,90,6.93
Ashland,38.48,-82.64,50.0,93,90,3.06
Majene,-3.54,118.97,83.61,67,100,4.79
Bodden Town,19.28,-81.25,82.99,84,0,20.0
Esna,45.2,27.57,60.8,67,75,2.24
Manisa,38.62,27.43,75.2,53,68,12.75
Olinda,-37.84,145.39,57.99,82,90,16.11
Samana,0.12,-76.97,68.41,98,29,1.59
Havre-Saint-Pierre,50.23,-63.6,23.0,57,1,23.04
Gigmoto,13.78,124.39,85.3,75,41,13.87
Sur,22.57,59.53,83.48,46,0,9.6
Hervey Bay,-25.3,152.85,73.99,78,0,13.87
Pisco,-13.71,-76.2,64.4,88,90,3.36
Angoche,-16.23,39.91,91.13,47,100,10.89
Severo-Yeniseyskiy,60.37,93.04,28.08,94,100,9.4
Escanaba,45.75,-87.06,23.0,85,1,10.29
Pavilosta,56.89,21.19,42.8,100,99,2.24
Bandarbeyla,9.49,50.81,81.39,70,32,6.2
Bukama,-9.2,25.85,95.59,42,39,1.43
Morondava,-20.3,44.28,100.49,29,84,10.13
Ginda,30.69,78.49,67.24,41,90,5.48
Maningrida,-12.05,134.23,82.98,63,0,9.57
Nisia Floresta,-6.09,-35.21,77.0,83,40,5.82
Ghansor,22.66,79.95,84.2,58,17,4.7
Mareeba,-16.99,145.42,77.0,73,40,5.82
Luganville,-15.51,167.18,78.8,88,40,4.7
Grootfontein,-19.56,18.1,84.2,26,62,8.05
Novyy Urengoy,66.08,76.63,12.33,96,100,3.29
Usinsk,66.0,57.56,7.41,94,70,6.08
Kalmunai,7.42,81.82,82.42,74,100,6.82
Diamantino,-14.4,-56.44,69.6,93,100,2.59
Rawson,-43.3,-65.11,50.09,54,0,23.87
Leningradskiy,69.38,178.42,19.83,87,28,18.84
George Town,5.42,100.33,87.8,74,75,10.29
Tucuman,-17.17,-70.89,54.0,53,100,0.78
San Vicente,-0.59,-80.41,71.6,83,40,4.7
Batagay,67.65,134.64,-8.11,99,100,1.86
Dzaoudzi,-12.79,45.27,89.6,66,100,11.41
Sorland,67.67,12.69,33.8,86,75,2.24
Lukovetskiy,64.29,41.92,24.8,92,75,4.47
Warmbad,50.67,13.08,52.0,87,40,6.93
Yeniseysk,58.45,92.17,31.82,95,100,11.23
Ballina,54.11,-9.15,45.0,100,75,9.17
Clarksville,36.53,-87.36,57.2,87,90,2.73
Lahad Datu,5.02,118.33,83.14,75,83,4.14
Betul,21.92,77.9,81.23,60,6,4.43
Naryan-Mar,67.67,53.09,12.34,96,67,4.41
Myanaung,18.28,95.32,84.2,78,78,6.87
Viedma,-40.81,-62.99,53.62,43,70,17.54
Nuevitas,21.55,-77.27,75.2,100,0,6.93
